participant,start_time_s,end_time_s,sam_label,block,sam_rating,stimulus,theta_AF3,alpha_AF3,beta_AF3,tbr_AF3,bar_AF3,theta_F7,alpha_F7,beta_F7,tbr_F7,bar_F7,theta_F3,alpha_F3,beta_F3,tbr_F3,bar_F3,theta_FC5,alpha_FC5,beta_FC5,tbr_FC5,bar_FC5,theta_T7,alpha_T7,beta_T7,tbr_T7,bar_T7,theta_P7,alpha_P7,beta_P7,tbr_P7,bar_P7,theta_O1,alpha_O1,beta_O1,tbr_O1,bar_O1,theta_O2,alpha_O2,beta_O2,tbr_O2,bar_O2,theta_P8,alpha_P8,beta_P8,tbr_P8,bar_P8,theta_T8,alpha_T8,beta_T8,tbr_T8,bar_T8,theta_FC6,alpha_FC6,beta_FC6,tbr_FC6,bar_FC6,theta_F4,alpha_F4,beta_F4,tbr_F4,bar_F4,theta_F8,alpha_F8,beta_F8,tbr_F8,bar_F8,theta_AF4,alpha_AF4,beta_AF4,tbr_AF4,bar_AF4
P6,1057327.4820487006,1057328.4820487006,4,1,Medium-High,target,11303684.167955488,10415363.455412176,8094723.524676742,1.3964262193138826,0.7771906913599304,9008965.899849823,6449217.24682262,8450430.037748743,1.0660955548541382,1.3103032064723938,6273882.821413785,3748868.7149304673,9796397.467055844,0.6404275492610554,2.613160985883589,7682964.209271465,8849922.17069225,7945104.472106302,0.9670060647087575,0.8977598128961656,12500269.744406037,7791430.454903016,8217328.93219975,1.5212083935722114,1.054662424282915,4077027.2423441447,8731938.625587799,9069828.232969826,0.44951537533243474,1.0386958293994286,12194044.997169038,10482730.115366466,11184182.658464704,1.0902937987998635,1.0669150627153883,8583722.111310909,9235046.217601981,7796229.192552766,1.1010094623065192,0.8442003438697651,5266295.727380204,6570782.2752665775,8072073.950923015,0.6524092518723791,1.2284798997689403,6644660.644354586,6294664.619043912,8314079.87640055,0.7992057741970223,1.320813797012646,9708986.595504923,10201083.813023876,9972476.763935685,0.9735782619836585,0.9775899254159323,6776065.492624394,8667147.619212281,7130844.762303588,0.9502472313582403,0.8227441224719418,8931136.781035556,9720359.136593388,9409977.323205084,0.9491135285747497,0.9680688944691521,13175974.036514202,13234650.865345512,8368196.565833844,1.574529700976412,0.6322944708534538
P6,1057329.590172971,1057330.590172971,4,1,Medium-High,target,13791204.505220925,9271936.917065965,6866163.602205981,2.008574992414985,0.7405317425712951,15071850.464704318,12111536.375648845,7464204.0009181965,2.0192173824362625,0.6162887819852104,4998008.8814556915,6556033.522418782,7735764.833542393,0.6460911091537129,1.1799458936702265,9374149.773284553,10412481.33338607,6246513.6566904,1.5007010771911564,0.5999063486108623,6218088.590084727,5224616.304283176,7682346.737622142,0.8093996278029706,1.47041357493068,9383976.464616453,12521992.418164438,7694271.278493445,1.2196056163039075,0.614460624279896,5749864.216728407,6662218.120167041,7977560.109032621,0.7207547342975332,1.197433041839915,11990062.899033366,7436323.703889316,7774380.979893885,1.5422530655549405,1.0454602690073536,9294545.50584341,7537734.935651493,9757176.001071945,0.9525856154303551,1.2944440318434498,6871350.160870639,10505323.411150768,9358048.492450424,0.7342716984651319,0.8907910900217901,10796727.890245771,13580348.194602348,9422366.679993564,1.1458615714001428,0.6938236446498907,7419279.833944817,8141416.817292584,6465269.566545949,1.1475592405822213,0.7941209388534863,7660084.425033894,9733710.777511034,6840769.6452613305,1.1197693859403834,0.7027915459607025,9346917.698975718,7223835.351282346,9076601.18328973,1.0297816892278628,1.2564795211837836
P6,1057331.6937721414,1057332.6937721414,4,1,Medium-High,target,8962997.114920614,10562940.386513714,6252485.276482959,1.4335095115909373,0.5919265893487244,5402014.868824565,11804972.29498619,11235200.412223829,0.4808116162260182,0.9517345853488911,11595317.715174029,7967882.260376597,5727922.581402402,2.0243495875489077,0.7188764083383526,7049473.184178493,6869159.697428472,7908743.475677955,0.8913518570753993,1.1513407496754893,4806978.510095805,4990103.016069667,9557070.563790426,0.5029761450447334,1.915205063505446,5154018.688644431,7745352.550209485,10828256.295659691,0.4759786384729668,1.3980327203268268,7322858.79487323,10980691.730539234,13375813.536552727,0.5474701613372303,1.2181212135618231,7724931.401686497,6795762.205416129,6633142.557671957,1.1645960168233935,0.9760704328920505,12775289.0073141,10639557.277591273,10185972.474328384,1.2542041557162606,0.9573680754350355,9655883.112789186,9539024.25562284,5826615.8723576255,1.6572026240134006,0.610818854865904,7235843.942429472,7768891.637538921,10078025.47410654,0.717982303281582,1.2972282204851453,6130280.528809962,7311090.147425069,10807252.5713222,0.5672376478992532,1.478199879005522,11001245.382279942,8712806.201342378,10524265.604566459,1.0453219061201309,1.2079076891375122,8171793.190840119,7708813.814812679,6998108.5812459905,1.167714546861912,0.9078061488265483
P6,1057333.7973150115,1057334.7973150115,4,1,Medium-High,target,7572427.037146804,8475142.336191628,8363753.75916512,0.9053861764938776,0.9868570258046473,6873430.690495624,9646469.58411091,12960204.678793862,0.5303489305027934,1.3435179125160088,8680249.75374943,6844399.428454384,5167225.839378634,1.6798665325596147,0.754956792541476,8688898.923191031,15511311.785614891,6718796.76824141,1.2932224657042692,0.43315464617714583,8415498.048254041,6743153.524663699,7278409.590020801,1.1562275994734161,1.079377707091994,6734526.859128661,7549172.100848582,5337177.354681099,1.2618143283587877,0.7069884330867435,7588257.476274214,9102488.94168105,8993865.375143794,0.8437148166844661,0.9880666082394389,4890869.504447193,5613368.061861421,9630312.970927423,0.5078619479150935,1.7156033356084552,6999455.151386461,4509424.035370471,8496162.601874614,0.82383724033743,1.8840904149251543,8665009.915184872,10175323.871615004,9079715.086431412,0.9543261911525981,0.8923268881652119,7882064.670342396,10572918.342179095,7714877.621611427,1.0216707324381444,0.7296828909416677,9803442.0144736,6129933.182281021,8548093.08419136,1.146857190009296,1.3944838924019907,3877629.373967137,10185565.815987071,11313812.259635014,0.34273410986335656,1.11076914763803,5086498.00924088,8531564.45504172,11225983.835857466,0.45310042163020464,1.3158177371822446
P6,1057335.903474782,1057336.903474782,4,1,Medium-High,target,12940817.809387967,7207800.630991199,8223593.238709441,1.573620853287585,1.1409296205212258,6309391.204433023,6764124.192333031,9806319.537717752,0.6434005316842268,1.4497545075876894,6770100.829873088,5450949.732270267,7789362.324860349,0.869146991438027,1.4289917734420488,8828819.136792906,7385885.090713834,9274576.032179609,0.9519377604065049,1.2557162639641386,10419762.591334512,9485869.936552972,7952956.853972107,1.3101746661847358,0.838400368881939,10706103.252560358,8379609.159704583,7068575.439603166,1.5146055020615874,0.8435447650224731,9012682.934724776,9848394.05171883,9228468.034636373,0.9766174516613473,0.9370530856272692,7473959.098467653,8897661.886224596,13709330.46726775,0.5451731662835321,1.540778986948538,7361024.087490956,11511457.995713439,6096916.428428173,1.207335572645971,0.5296389415396818,8455748.41514499,9075374.794973534,8456976.952574505,0.9998547309001308,0.9318598012347068,4149991.2599069998,6335468.328402707,8691213.597653482,0.4774927244944762,1.3718344323007141,6804239.204558109,12127051.595026476,7257244.612885745,0.9375788701508981,0.5984343808566027,7153608.779836905,5258823.3077847585,6413067.6828420935,1.1154737691255154,1.2194871946636199,10141249.909174167,6259140.820875455,5877715.940962409,1.7253725785723584,0.9390611442003478
P6,1057338.011954052,1057339.011954052,4,1,Medium-High,nonTarget,4105070.624127043,5016462.576122235,7114670.235144397,0.5769867735891947,1.418264389932735,15712716.042526377,13066550.78500821,7265442.014477258,2.162664846986174,0.5560336567790481,6945482.255797032,8797550.169358552,9693834.46284745,0.7164845121315263,1.1018788499337708,13581966.466332167,16120209.538373802,9875236.27252604,1.3753561020224543,0.612599746238922,10007332.274988972,15685315.909806158,8824875.059486838,1.1339913831676267,0.5626201671825873,9822171.194325915,6406178.051242809,9125629.912630113,1.0763280221052762,1.4245045703748003,6867769.557092263,9396129.196387492,9951747.723116718,0.6901068785274025,1.0591327040227208,4339155.054046122,9937990.71706834,7215812.2242905535,0.601339796431959,0.7260836148596427,12159470.811264036,10290999.217475314,11480071.2577576,1.0591807784335254,1.115544857710523,5688658.221233818,6021018.842617412,10244695.348079627,0.5552784175568636,1.701488670915059,8922196.724489732,8539681.173209973,11297276.229811506,0.7897652976693301,1.3229154579274514,9398059.672057582,12913598.124622155,7774226.132752993,1.2088739781395528,0.6020185898405804,12587162.237357935,11274443.49812289,7823332.999775162,1.6089257913116677,0.6938997034379292,8113454.581474543,6161664.477927458,10243764.082323734,0.7920384066121577,1.66249949490423
P6,1057340.1198931225,1057341.1198931225,4,1,Medium-High,nonTarget,5655590.950626331,6615124.699527157,6349167.407115141,0.8907610380990176,0.9597955738565251,7177081.223380805,5046680.30221151,8711245.539583607,0.8238869161440106,1.7261338182579635,8435968.508726854,6353313.923529848,6730869.21696315,1.2533252744632908,1.0594265131516647,6843005.056703572,11254651.78683347,9688120.106023695,0.7063295027121782,0.8608102933364478,6148783.716184878,9745893.610995363,9468956.280695204,0.6493623514474014,0.9715842034241254,4864321.22505474,6480393.128573228,6590136.38447989,0.7381214805372567,1.0169346602481235,10435389.620101731,11277955.862093069,8859898.700816885,1.1778226786204211,0.7855943762465286,5751193.895927075,6150253.27148729,12639779.707932219,0.45500744702993967,2.0551640964983533,7218540.032102018,4832439.666009649,4912511.99020403,1.4694193208070343,1.0165697514565144,6754714.681931782,9797589.688752964,9140327.134666277,0.7390014145460236,0.9329158930955045,10818708.84021136,7420274.505931704,8363694.271192507,1.2935323183051757,1.1271408172981525,8724499.99102514,9548345.779156221,9788884.047044953,0.891266047191444,1.0251916167943793,6778385.189550895,11072659.392589053,7009040.069376016,0.9670918017956694,0.6330042152355175,5823822.383377198,11437493.65319505,10878169.190898295,0.5353678804931585,0.9510972876351711
P6,1057342.229878293,1057343.229878293,4,1,Medium-High,nonTarget,8538044.035653727,9245509.153090665,5717719.69448542,1.4932603366143378,0.6184321057725689,9891838.771623595,7954368.650855315,8322346.705243125,1.188587681091402,1.0462611265003718,8282222.73738237,9136175.135948736,10470365.614708439,0.7910156189529586,1.1460338116232,11830931.029004678,8775512.982983844,13246702.998146966,0.8931226910318488,1.5095075380587986,9896343.834783414,13982879.340783838,13516043.699906377,0.7321923526225329,0.9666137689169754,7178553.570794483,9927428.507242203,5849930.708291966,1.2271177093806025,0.5892694874633805,16789337.43554433,10854948.34044468,7501365.352377015,2.2381708724831224,0.6910549103607909,11667162.021263057,10022835.288699599,8568199.087176114,1.3616819476948325,0.8548677934313121,9841200.619373,8365983.231779268,9510982.273403859,1.034719688931873,1.1368636548630846,10246436.386278775,7922602.514124076,7701641.326841939,1.3304224322376137,0.9721100248449652,12235160.4921803,10778216.3652745,11000472.962836392,1.1122394949303664,1.020620907024836,10417322.741314739,6680519.046546456,6670625.073463387,1.5616711517420163,0.9985189813824146,6040951.317100712,6598482.861799862,6289328.650830635,0.9605081325020088,0.9531476829683089,11561175.069022534,6498611.337423816,11155763.751665728,1.0363409737227782,1.7166380896519506
P6,1057344.3390128629,1057345.3390128629,4,1,Medium-High,target,6612484.929176614,6819088.060645861,8910442.874442266,0.7421050807859548,1.3066912753137736,6852681.876557632,7646186.585463416,10248223.84188832,0.6686701990786111,1.3403052263165771,8100449.973307551,5869044.991725752,6655580.962306079,1.217091343217744,1.134014302444298,4362369.69913918,7727141.141325319,9471529.65010965,0.4605771042577771,1.225748239469215,6625405.226339039,7474803.998033633,11137190.766996061,0.5948901626048068,1.489964254571207,8130311.154758693,8904163.011811305,11082625.308104077,0.7336087730777535,1.244656605388183,12747707.53163823,12462442.304812945,11267974.089243498,1.1313220487263365,0.9041545640609988,7190360.579653299,10181363.56339408,15832818.893402422,0.4541427921372575,1.5550784327481928,7577121.126815577,8769737.69648739,7366177.88552237,1.0286367291927336,0.8399541856848013,8057309.101738532,10583325.161534732,7888842.816559311,1.0213550059364342,0.7454030464103512,11427379.027458206,8020905.372945271,7844412.479689037,1.4567539706824801,0.9779958888616802,5523768.5479322905,8278780.5996127315,7676415.174868234,0.7195765760581215,0.9272398371358368,9087719.18833089,11484248.428305298,11231910.447194906,0.809098259023289,0.978027471045606,5985261.51480376,12825327.67436224,7920516.875529554,0.7556655214377779,0.6175683831737588
P6,1057346.4463783335,1057347.4463783335,4,1,Medium-High,nonTarget,11818801.179994961,10831275.652127778,9207467.029985465,1.2836104806571997,0.8500814978498566,13726283.740423033,7873811.176290166,6899330.954121323,1.989509393258432,0.8762377963668695,7037798.189977444,5398181.958828155,9753226.055960953,0.7215866985545875,1.8067612633936108,8297406.875232232,9591556.325787015,8826770.331325898,0.9400275031270527,0.9202646610743471,3353114.0945444577,9887613.57796704,8040572.466701494,0.41702429875866975,0.8131964708469815,9172592.192082176,9718794.221510388,7009594.100742795,1.3085767963526123,0.7212411273436182,7304302.652417305,6529509.402784958,8593318.053064827,0.849997941111025,1.3160740758562377,11181652.18955831,13332680.01970398,8398807.532158576,1.3313380675464195,0.6299414311110911,5316493.442743189,4487102.393640512,6171151.98972571,0.861507454620234,1.3753089295381293,8729507.087330071,8029268.9888607105,9105319.4037043,0.9587260699255274,1.1340159877986942,10692474.419608887,8834850.62235193,12397037.858362304,0.8625023607874506,1.4031972229386809,5821429.443775844,6111769.238841324,9643868.568117663,0.6036404791974574,1.5779176521962335,5001969.903040719,5526727.557410618,9079138.724297764,0.5509300006237764,1.6427693657748386,7992178.773010987,10597864.649349526,8112773.235716862,0.9851352356090822,0.7655101762612911
